ANIO_VIAJE,MES_VIAJE,LOCATION_ID_SALIDA,ZONE_SALIDA,LOCATION_ID_LLEGADA,ZONE_LLEGADA,Borough_SALIDA,Borough_LLEGADA,TOTAL_VIAJES,TRIP_DISTANCE,TOTAL_TARIFA
2011,1,125,Hudson Sq,81,Eastchester,Manhattan,Bronx,2,41.2,92.6
2011,1,35,Brownsville,76,East New York,Brooklyn,Brooklyn,4,15.909999999999998,46.0
2011,1,48,Clinton East,121,Hillcrest/Pomonok,Manhattan,Queens,24,313.7199999999999,780.3999999999999
2011,1,106,Gowanus,26,Borough Park,Brooklyn,Brooklyn,15,58.02000000000001,182.3
2011,1,48,Clinton East,118,Heartland Village/Todt Hill,Manhattan,Staten Island,8,168.06000000000003,382.8
2011,1,70,East Elmhurst,115,Grymes Hill/Clifton,Queens,Staten Island,2,44.5,96.19999999999999
2011,1,40,Carroll Gardens,36,Bushwick North,Brooklyn,Brooklyn,26,161.82000000000002,460.6
2011,1,26,Borough Park,76,East New York,Brooklyn,Brooklyn,1,14.1,32.1
2011,1,53,College Point,107,Gramercy,Queens,Manhattan,2,14.3,36.6
2011,1,54,Columbia Street,48,Clinton East,Brooklyn,Manhattan,4,29.85,81.6
2011,1,61,Crown Heights North,117,Hammels/Arverne,Brooklyn,Queens,1,15.75,36.9
2011,1,70,East Elmhurst,71,East Flatbush/Farragut,Queens,Brooklyn,1,17.62,44.9
2011,1,15,Bay Terrace/Fort Totten,102,Glendale,Queens,Queens,1,10.8,25.3
2011,1,65,Downtown Brooklyn/MetroTech,18,Bedford Park,Brooklyn,Bronx,1,16.91,44.1
2011,1,7,Astoria,12,Battery Park,Queens,Manhattan,1,11.56,28.9
2011,1,74,East Harlem North,48,Clinton East,Manhattan,Manhattan,413,1959.1700000000005,6167.399999999998
2011,1,97,Fort Greene,41,Central Harlem,Brooklyn,Manhattan,32,365.44999999999993,898.0
2011,1,4,Alphabet City,24,Bloomingdale,Manhattan,Manhattan,93,671.4800000000002,1847.3000000000004
2011,1,125,Hudson Sq,89,Flatbush/Ditmas Park,Manhattan,Brooklyn,86,625.6000000000001,1678.1999999999998
2011,1,41,Central Harlem,4,Alphabet City,Manhattan,Manhattan,63,457.50000000000017,1236.7000000000003
2011,1,13,Battery Park City,43,Central Park,Manhattan,Manhattan,291,1878.4299999999998,5403.500000000003
2011,1,66,DUMBO/Vinegar Hill,37,Bushwick South,Brooklyn,Brooklyn,62,241.35999999999996,750.1999999999997
2011,1,69,East Concourse/Concourse Village,7,Astoria,Bronx,Queens,1,5.7,15.3
2011,1,70,East Elmhurst,93,Flushing Meadows-Corona Park,Queens,Queens,28,95.31999999999998,346.5
